"Incident Counts, 2012-13"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","School Policy Violations","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,2626,"*",17,9,223,45,24,"*","*"
"Amistad Academy District","=""2790013""","*",1520,"*",31,15,134,"*",9,"*",0
"Andover School District","=""0010011""",0,"*","*","*",0,"*","*",0,0,0
"Ansonia School District","=""0020011""",6,472,0,22,"*",29,88,10,6,16
"Area Cooperative Educational Services","=""2440014""",0,178,14,69,"*",118,158,14,10,13
"Ashford School District","=""0030011""",0,8,"*",9,"*",13,7,0,"*",0
"Avon School District","=""0040011""","*",72,"*",12,6,11,10,0,0,7
"Barkhamsted School District","=""0050011""",0,0,0,"*","*","*","*",0,"*",0
"Berlin School District","=""0070011""","*",208,"*",21,9,15,16,"*","*",9
"Bethany School District","=""0080011""",0,"*",0,0,0,"*","*",0,0,0
"Bethel School District","=""0090011""","*",381,33,54,"*",35,25,8,"*",25
"Bloomfield School District","=""0110011""",0,335,"*",29,10,125,77,"*",6,14
"Bolton School District","=""0120011""",0,15,"*","*","*",0,"*",0,"*",11
"Bozrah School District","=""0130011""",0,"*",0,6,0,17,"*",0,0,"*"
"Branford School District","=""0140011""","*",268,10,23,10,19,17,"*","*",15
"Bridgeport Achievement First District","=""2850013""",0,241,"*",16,6,22,75,"*","*","*"
"Bridgeport School District","=""0150011""",58,6212,121,634,144,1632,2188,129,72,58
"Bristol School District","=""0170011""",14,1213,27,158,19,171,209,16,23,40
"Brookfield School District","=""0180011""",0,49,"*",23,"*","*",36,"*",0,9
"Brooklyn School District","=""0190011""",0,53,12,17,0,53,0,16,"*","*"
"Canaan School District","=""0210011""",0,0,0,"*",0,0,0,0,0,0
"Canterbury School District","=""0220011""",0,6,"*",9,"*","*","*",0,"*","*"
"Canton School District","=""0230011""",0,25,"*","*","*","*",9,0,0,"*"
"Capitol Region Education Council","=""2410014""","*",1136,35,121,21,164,256,20,"*",15
"Chaplin School District","=""0240011""",0,"*",0,0,"*",0,"*",0,0,0
"Cheshire School District","=""0250011""",6,124,"*",39,11,16,35,"*","*",25
"Chester School District","=""0260011""",0,"*",0,6,"*",16,"*",0,0,0
"Clinton School District","=""0270011""","*",206,"*",21,"*",25,15,"*","*",18
"Colchester School District","=""0280011""",0,252,"*",39,"*",18,14,"*","*",27
"Colebrook School District","=""0290011""",0,"*",0,0,0,0,"*",0,0,0
"Columbia School District","=""0300011""",0,0,"*","*","*",0,"*",0,"*",0
"Common Ground High School District","=""2680013""",0,"*",0,"*",0,"*",0,0,"*","*"
"Connecticut Technical High School System","=""9000016""",31,2297,81,305,81,440,207,59,47,230
"Cooperative Educational Services","=""2430014""","*",24,"*",19,"*",36,12,"*","*","*"
"Coventry School District","=""0320011""","*",88,"*",10,"*",23,12,0,"*",22
"Cromwell School District","=""0330011""",0,294,"*",28,"*",0,60,"*","*","*"
"Danbury School District","=""0340011""",19,2463,8,53,41,70,115,11,10,41
"Darien School District","=""0350011""",0,13,0,"*","*","*","*",10,"*","*"
"Deep River School District","=""0360011""",0,"*",0,"*",0,"*","*",0,0,0
"Derby School District","=""0370011""","*",303,"*",31,14,83,55,6,"*","*"
"East Granby School District","=""0400011""",0,21,"*",8,0,7,"*","*","*","*"
"East Hampton School District","=""0420011""","*",28,"*",30,"*",12,19,"*","*","*"
"East Hartford School District","=""0430011""",9,2465,116,276,102,763,258,42,22,24
"East Haven School District","=""0440011""","*",487,15,50,"*",35,51,9,11,30
"East Lyme School District","=""0450011""",0,52,6,18,"*",7,40,"*","*",22
"East Windsor School District","=""0470011""","*",206,"*",27,9,20,97,9,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,42,"*",11,"*",9,6,"*",0,7
"Eastford School District","=""0390011""",0,"*","*","*",0,"*",0,0,0,0
"Easton School District","=""0460011""",0,0,0,"*",0,"*",0,"*","*",0
"Education Connection","=""2420014""",0,"*",0,12,0,21,108,"*","*","*"
"Ellington School District","=""0480011""","*",204,"*",20,"*",23,15,"*","*",21
"Elm City College Preparatory School District","=""2890013""",0,587,0,14,"*",24,"*","*","*","*"
